Anton Paar Monowave Series;;;;;;;;
Serial Number: 82701239;;;;;;;;
Instrument Software Version: 4.10.10607.14;;;;;;;;
;;;;;;;;
Processing Protocol;;;;;;;;
Experiment Name;vb-8min;;;;;;;
Experiment Date;10/20/2022 11:10:11 AM;;;;;;;
Experiment Unique ID;982;;;;;;;
User;Administrator;;;;;;;
Temperature Control;IR;;;;;;;
Vial Type;Glass vial G30;;;;;;;
;;;;;;;;
Steps;;;;;;;;
Step;Program;Temperature;Time;Power;Cooling;Stirrer Speed;;
;;C;hh:mm:ss;W;;rpm;;
1;Heat to temperature in time;60;00:01:30;850;Off;800;;
2;Hold;-;00:06:30;850;Off;800;;
3;Cool down;60;-;-;On;800;;
;;;;;;;;
Experiment Result;;;;;;;;
Result;OK;;;;;;;
;;;;;;;;
;;;;;;;;
Time;Step Time;Temp IR;Temp Ruby;Pressure;Power;Stirrer Speed;Fan Level;Step No.
hh:mm:ss;hh:mm:ss;C;C;bar;W;rpm;;
00:04:12;00:02:41;60;31;0.0;0;800;Off;2
00:04:13;00:02:42;60;31;0.0;0;800;Off;2
00:04:14;00:02:43;60;31;0.0;0;800;Off;2
00:04:15;00:02:44;60;31;0.0;0;800;Off;2
00:04:16;00:02:45;60;31;0.0;0;800;Off;2
00:04:17;00:02:46;60;31;0.0;0;800;Off;2
00:04:18;00:02:47;60;31;0.0;0;800;Off;2
00:04:19;00:02:48;59;31;0.0;0;800;Off;2
00:04:20;00:02:49;60;31;0.0;0;800;Off;2
00:04:21;00:02:50;60;31;0.0;0;800;Off;2
00:04:22;00:02:51;60;31;0.0;1;800;Off;2
00:04:23;00:02:52;60;31;0.0;1;800;Off;2
00:04:24;00:02:53;60;31;0.0;1;800;Off;2
00:04:25;00:02:54;60;31;0.0;1;800;Off;2
00:04:26;00:02:55;59;31;0.0;1;800;Off;2
00:04:27;00:02:56;60;31;0.0;2;800;Off;2
00:04:28;00:02:57;60;31;0.0;2;800;Off;2
00:04:29;00:02:58;60;31;0.0;2;800;Off;2
00:04:30;00:02:59;59;31;0.0;3;800;Off;2
00:04:31;00:03:00;59;31;0.0;3;800;Off;2
00:04:32;00:03:01;60;31;0.0;3;800;Off;2
00:04:33;00:03:02;59;31;0.0;4;800;Off;2
00:04:34;00:03:03;59;31;0.0;4;800;Off;2
00:04:35;00:03:04;59;31;0.0;4;800;Off;2
00:04:36;00:03:05;59;31;0.0;5;800;Off;2
00:04:37;00:03:06;59;31;0.0;7;800;Off;2
00:04:38;00:03:07;59;31;0.0;4;800;Off;2
00:04:39;00:03:08;59;31;0.0;9;800;Off;2
00:04:40;00:03:09;59;31;0.0;7;800;Off;2
00:04:41;00:03:10;59;31;0.0;8;800;Off;2
00:04:42;00:03:11;59;31;0.0;9;800;Off;2
00:04:43;00:03:12;59;31;0.0;7;800;Off;2
00:04:44;00:03:13;59;31;0.0;6;800;Off;2
00:04:45;00:03:14;59;31;0.0;8;800;Off;2
00:04:46;00:03:15;59;31;0.0;8;800;Off;2
00:04:47;00:03:16;59;31;0.0;6;800;Off;2
00:04:48;00:03:17;59;31;0.0;8;800;Off;2
00:04:49;00:03:18;60;31;0.0;5;800;Off;2
00:04:50;00:03:19;60;31;0.0;4;800;Off;2
00:04:51;00:03:20;60;31;0.0;4;800;Off;2
00:04:52;00:03:21;60;31;0.0;3;800;Off;2
00:04:53;00:03:22;60;31;0.0;4;800;Off;2
00:04:54;00:03:23;61;31;0.0;3;800;Off;2
00:04:55;00:03:24;60;31;0.0;3;800;Off;2
00:04:56;00:03:25;60;31;0.0;2;800;Off;2
00:04:57;00:03:26;61;31;0.0;2;800;Off;2
00:04:58;00:03:27;61;31;0.0;2;800;Off;2
00:04:59;00:03:28;61;31;0.0;1;800;Off;2
00:05:00;00:03:29;60;31;0.0;1;800;Off;2
00:05:01;00:03:30;61;31;0.0;0;800;Off;2
00:05:02;00:03:31;61;31;0.0;0;800;Off;2
00:05:03;00:03:32;61;31;0.0;0;800;Off;2
00:05:04;00:03:33;61;31;0.0;0;800;Off;2
00:05:05;00:03:34;61;31;0.0;0;800;Off;2
00:05:06;00:03:35;61;31;0.0;0;800;Off;2
00:05:07;00:03:36;61;31;0.0;0;800;Off;2
00:05:08;00:03:37;61;31;0.0;0;800;Off;2
00:05:09;00:03:38;61;31;0.0;0;800;Off;2
00:05:10;00:03:39;61;31;0.0;0;800;Off;2
00:05:11;00:03:40;61;31;0.0;0;800;Off;2
00:05:12;00:03:41;61;31;0.0;0;800;Off;2
00:05:13;00:03:42;60;31;0.0;0;800;Off;2
00:05:14;00:03:43;61;31;0.0;0;800;Off;2
00:05:15;00:03:44;60;31;0.0;0;800;Off;2
00:05:16;00:03:45;60;31;0.0;0;800;Off;2
00:05:17;00:03:46;60;31;0.0;0;800;Off;2
00:05:18;00:03:47;60;31;0.0;0;800;Off;2
00:05:19;00:03:48;60;31;0.0;0;800;Off;2
00:05:20;00:03:49;60;31;0.0;0;800;Off;2
00:05:21;00:03:50;61;31;0.0;0;800;Off;2
