,t,Q,TG,DG,MG,G,ME
136,136.0,6.0,0.0579514,0.06946862,0.059767775,0.48587924,1.5909922
137,137.0,6.0,0.057564527,0.06904192,0.059404902,0.48711514,1.5934752
138,138.0,6.0,0.057187177,0.06862597,0.059049986,0.48832452,1.5959042
139,139.0,6.0,0.05681898,0.06822042,0.05870285,0.48950833,1.5982813
140,140.0,6.0,0.056459684,0.067824766,0.058363177,0.49066722,1.6006073
141,141.0,6.0,0.056108855,0.067438796,0.05803076,0.4918021,1.6028845
142,142.0,6.0,0.055766314,0.06706193,0.057705358,0.4929135,1.6051141
143,143.0,6.0,0.05543163,0.06669399,0.05738674,0.49400234,1.6072975
144,144.0,6.0,0.055104617,0.066334575,0.05707463,0.4950691,1.6094362
145,145.0,6.0,0.054784965,0.065983266,0.056768797,0.49611467,1.6115316
146,146.0,6.0,0.054472413,0.06563982,0.056469098,0.49713945,1.6135845
147,147.0,6.0,0.054166675,0.06530383,0.05617521,0.49814427,1.6155969
148,148.0,6.0,0.053867515,0.06497505,0.05588697,0.4991297,1.6175693
149,149.0,6.0,0.053574722,0.06465322,0.055604137,0.5000963,1.6195033
150,150.0,6.0,0.05328802,0.06433794,0.05532652,0.5010446,1.6213996
151,151.0,6.0,0.05300723,0.06402896,0.055053927,0.5019752,1.6232598
152,152.0,6.0,0.052732088,0.06372607,0.05478613,0.5028885,1.6250848
153,153.0,6.0,0.05246246,0.06342895,0.05452297,0.5037852,1.6268752
154,154.0,6.0,0.0521981,0.06313743,0.05426427,0.50466555,1.628632
155,155.0,6.0,0.051938817,0.062851205,0.05400978,0.5055304,1.6303567
156,156.0,6.0,0.051684506,0.06257002,0.053759415,0.5063799,1.6320497
157,157.0,6.0,0.05143496,0.06229383,0.05351305,0.5072145,1.633712
158,158.0,6.0,0.051189944,0.06202219,0.05327031,0.5080347,1.6353444
159,159.0,6.0,0.050949443,0.061755154,0.053031348,0.50884104,1.636948
160,160.0,6.0,0.05071324,0.061492417,0.052795835,0.5096337,1.6385232
161,161.0,6.0,0.050481208,0.061233822,0.05256366,0.5104132,1.6400713
162,162.0,6.0,0.05025322,0.06097922,0.052334756,0.51118,1.6415924
163,163.0,6.0,0.050029114,0.060728434,0.05210892,0.5119342,1.6430876
164,164.0,6.0,0.049808864,0.06048136,0.051886037,0.5126764,1.6445572
165,165.0,6.0,0.04959228,0.060237844,0.051666074,0.5134069,1.6460027
166,166.0,6.0,0.04937927,0.059997793,0.051448934,0.5141259,1.647424
167,167.0,6.0,0.049169764,0.05976103,0.05123444,0.514834,1.6488224
168,168.0,6.0,0.048963703,0.059527535,0.05102256,0.5155312,1.6501979
169,169.0,6.0,0.04876089,0.059297163,0.050813206,0.51621795,1.6515516
170,170.0,6.0,0.048561312,0.05906977,0.050606206,0.5168945,1.6528836
171,171.0,6.0,0.048364885,0.05884536,0.050401606,0.5175612,1.6541953
172,172.0,6.0,0.04817155,0.05862387,0.050199278,0.51821834,1.6554862
173,173.0,6.0,0.047981214,0.058405083,0.04999916,0.5188661,1.6567581
