Time	Value				
1,446666667	4297				
1,448333333	4187				
1,45	4097				
1,451666667	4011				
1,453333333	3919				
1,455	3856				
1,456666667	3817				
1,458333333	3868				
1,46	3924				
1,461666667	3975				
1,463333333	4012				
1,465	3952				
1,466666667	3760				
1,468333333	3614				
1,47	3543				
1,471666667	3515				
1,473333333	3596				
1,475	3664				
1,476666667	3625				
1,478333333	3476				
1,48	3400				
1,481666667	3297				
1,483333333	3218				
1,485	3191				
1,486666667	3163				
1,488333333	3138				
1,49	3136				
1,491666667	3079				
1,493333333	3039				
1,495	3002				
1,496666667	2979				
1,498333333	3050				
1,5	3215				
1,501666667	3309				
1,503333333	3309				
1,505	3173				
1,506666667	3033				
1,508333333	2923				
1,51	2854				
1,511666667	2799				
1,513333333	2778				
1,515	2745				
1,516666667	2725				
1,518333333	2776				
1,52	2769				
1,521666667	2740				
1,523333333	2754				
1,525	2802				
1,526666667	2812				
1,528333333	2775				
1,53	2737				
1,531666667	2688				
1,533333333	2644				
1,535	2597				
1,536666667	2583				
1,538333333	2556				
1,54	2525				
1,541666667	2520				
1,543333333	2502				
1,545	2492				
1,546666667	2438				
1,548333333	2415				
1,55	2378				
1,551666667	2358				
1,553333333	2323				
1,555	2320				
1,556666667	2265				
1,558333333	2243				
1,56	2258				
1,561666667	2303				
1,563333333	2413				
1,565	2636				
1,566666667	3060				
1,568333333	3716				
1,57	4586				
1,571666667	5121				
1,573333333	4989				
1,575	4256				
1,576666667	3388				
1,578333333	2698				
1,58	2335				
1,581666667	2118				
1,583333333	2023				
1,585	1972				
1,586666667	1957				
1,588333333	1988				
1,59	2189				
1,591666667	2835				
1,593333333	4376				
1,595	7087				
1,596666667	10345				
1,598333333	12594				
1,6	12592				
1,601666667	10611				
1,603333333	7840				
1,605	5370				
1,606666667	3602				
1,608333333	2623				
1,61	2152				
1,611666667	1943				
1,613333333	1859				
1,615	1819				
1,616666667	1762				
1,618333333	1764				
1,62	1864				
1,621666667	2018				
1,623333333	2226				
1,625	2459				
1,626666667	2732				
1,628333333	3373				
1,63	5268				
1,631666667	9782				
1,633333333	17778				
1,635	27891				
1,636666667	36638				
1,638333333	40685				
1,64	38454				
1,641666667	31667				
1,643333333	23042				
1,645	15472				
1,646666667	9543				
1,648333333	6025				
1,65	4146				
1,651666667	3187				
1,653333333	2780				
1,655	2659				
1,656666667	2614				
1,658333333	2598				
1,66	2546				
1,661666667	2481				
1,663333333	2485				
1,665	2593				
1,666666667	2811				
1,668333333	3106				
1,67	3582				
1,671666667	4634				
1,673333333	7641				
1,675	15030				
1,676666667	28200				
1,678333333	44312				
1,68	53627				
1,681666667	52851				
1,683333333	44697				
1,685	33644				
1,686666667	23703				
1,688333333	16106				
1,69	10761				
1,691666667	7478				
1,693333333	5449				
1,695	4137				
1,696666667	3333				
1,698333333	2837				
1,7	2547				
1,701666667	2372				
1,703333333	2200				
1,705	2083				
1,706666667	1978				
1,708333333	1912				
1,71	1857				
1,711666667	1835				
1,713333333	1825				
1,715	1837				
1,716666667	1888				
1,718333333	1933				
1,72	1939				
1,721666667	1926				
1,723333333	1920				
1,725	1921				
1,726666667	1922				
1,728333333	1885				
1,73	1830				
1,731666667	1760				
1,733333333	1694				
1,735	1649				
1,736666667	1584				
1,738333333	1548				
1,74	1512				
1,741666667	1490				
1,743333333	1480				
1,745	1489				
1,746666667	1509				
1,748333333	1490				
1,75	1472				
1,751666667	1454				
1,753333333	1388				
1,755	1352				
1,756666667	1324				
1,758333333	1307				
1,76	1293				
1,761666667	1274				
1,763333333	1285				
1,765	1269				
1,766666667	1232				
1,768333333	1221				
1,77	1217				
1,771666667	1203				
1,773333333	1176				
1,775	1182				
1,776666667	1182				
1,778333333	1172				
1,78	1166				
1,781666667	1180				
1,783333333	1169				
1,785	1175				
1,786666667	1176				
1,788333333	1181				
1,79	1183				
1,791666667	1173				
1,793333333	1141				
1,795	1139				
1,796666667	1133				
1,798333333	1149				
1,8	1147				
1,801666667	1141				
1,803333333	1150				
1,805	1143				
1,806666667	1111				
1,808333333	1102				
1,81	1097				
1,811666667	1115				
1,813333333	1122				
1,815	1136				
1,816666667	1136				
1,818333333	1142				
1,82	1153				
1,821666667	1154				
1,823333333	1143				
1,825	1138				
1,826666667	1162				
1,828333333	1190				
1,83	1213				
1,831666667	1220				
1,833333333	1244				
1,835	1246				
1,836666667	1218				
1,838333333	1157				
1,84	1130				
1,841666667	1094				
1,843333333	1074				
1,845	1050				
1,846666667	1058				
1,848333333	1085				
1,85	1105				
1,851666667	1114				
1,853333333	1147				
1,855	1175				
1,856666667	1199				
1,858333333	1185				
1,86	1163				
1,861666667	1134				
1,863333333	1110				
1,865	1099				
1,866666667	1116				
1,868333333	1100				
1,87	1115				
1,871666667	1142				
1,873333333	1169				
1,875	1190				
1,876666667	1230				
1,878333333	1297				
1,88	1446				
1,881666667	1656				
1,883333333	1888				
1,885	2112				
1,886666667	2264				
1,888333333	2280				
1,89	2150				
1,891666667	1944				
1,893333333	1752				
1,895	1523				
1,896666667	1344				
1,898333333	1209				
1,9	1116				
1,901666667	1068				
1,903333333	994				
1,905	936				
1,906666667	929				
1,908333333	923				
1,91	918				
1,911666667	921				
1,913333333	945				
1,915	925				
1,916666667	924				
1,918333333	904				
1,92	893				
1,921666667	909				
1,923333333	906				
1,925	889				
1,926666667	908				
1,928333333	902				
1,93	911				
1,931666667	914				
1,933333333	899				
1,935	908				
1,936666667	909				
1,938333333	927				
1,94	959				
1,941666667	983				
1,943333333	996				
1,945	985				
1,946666667	955				
1,948333333	942				
1,95	909				
1,951666667	879				
1,953333333	864				
1,955	862				
1,956666667	870				
1,958333333	856				
1,96	854				
1,961666667	867				
1,963333333	844				
1,965	819				
1,966666667	824				
1,968333333	836				
1,97	837				
1,971666667	833				
1,973333333	822				
1,975	858				
1,976666667	918				
1,978333333	998				
1,98	1049				
1,981666667	1075				
1,983333333	1091				
1,985	1080				
1,986666667	1047				
1,988333333	996				
1,99	957				
1,991666667	917				
1,993333333	878				
1,995	876				
1,996666667	868				
1,998333333	856				
2	847				
2,001666667	864				
2,003333333	874				
2,005	843				
2,006666667	820				
2,008333333	833				
2,01	823				
2,011666667	819				
2,013333333	852				
2,015	893				
2,016666667	974				
2,018333333	1110				
2,02	1388				
2,021666667	1902				
2,023333333	2590				
2,025	3382				
2,026666667	4135				
2,028333333	4686				
2,03	4949				
2,031666667	4932				
2,033333333	4661				
2,035	4236				
2,036666667	3697				
2,038333333	3097				
2,04	2525				
2,041666667	2023				
2,043333333	1642				
2,045	1322				
2,046666667	1122				
2,048333333	995				
2,05	902				
2,051666667	896				
2,053333333	865				
2,055	850				
2,056666667	837				
