,t,Q,TG,DG,MG,G,ME
209,209.0,6.0,0.049048197,0.0631257,0.06413328,0.0010047574,0.8353065
210,210.0,6.0,0.04876599,0.062805586,0.06383649,0.00086943246,0.83559585
211,211.0,6.0,0.048479002,0.06247665,0.0635297,0.0007398259,0.83588797
212,212.0,6.0,0.048187256,0.06213904,0.06321315,0.00061585754,0.8361828
213,213.0,6.0,0.047890954,0.06179291,0.06288696,0.0004974846,0.8364803
214,214.0,6.0,0.047590032,0.061438344,0.0625513,0.00038457662,0.83678067
215,215.0,6.0,0.047284722,0.061075605,0.06220644,0.00027704798,0.8370837
216,216.0,6.0,0.046975028,0.060704812,0.061852507,0.0001748465,0.83738923
217,217.0,6.0,0.04666124,0.060326114,0.061489716,7.7856705e-05,0.8376973
218,218.0,6.0,0.046343252,0.059939727,0.061118327,-1.3969839e-05,0.83800805
219,219.0,6.0,0.046021316,0.059545815,0.06073851,-0.00010074489,0.8383211
220,220.0,6.0,0.045695428,0.05914454,0.06035047,-0.00018260255,0.83863664
221,221.0,6.0,0.0453658,0.05873616,0.059954464,-0.0002595596,0.83895445
222,222.0,6.0,0.045032434,0.058320835,0.059550725,-0.00033177435,0.83927435
223,223.0,6.0,0.044695612,0.057898812,0.059139498,-0.0003992766,0.83959645
224,224.0,6.0,0.044355366,0.057470277,0.058721006,-0.0004622154,0.8399209
225,225.0,6.0,0.04401183,0.057035416,0.05829549,-0.0005206652,0.84024715
226,226.0,6.0,0.04366507,0.056594484,0.057863235,-0.00057475455,0.84057534
227,227.0,6.0,0.043315295,0.05614765,0.05742436,-0.00062450394,0.8409053
228,228.0,6.0,0.042962585,0.055695243,0.056979336,-0.00067007914,0.84123695
229,229.0,6.0,0.042607043,0.05523745,0.056528263,-0.0007115379,0.8415705
230,230.0,6.0,0.04224891,0.054774426,0.056071453,-0.0007489957,0.84190536
231,231.0,6.0,0.041888192,0.054306425,0.055609085,-0.0007825643,0.8422418
232,232.0,6.0,0.041525118,0.05383376,0.055141546,-0.000812361,0.8425796
233,233.0,6.0,0.041159697,0.053356588,0.054668985,-0.0008384064,0.84291863
234,234.0,6.0,0.040792096,0.052875184,0.05419176,-0.0008608736,0.843259
235,235.0,6.0,0.04042256,0.052389823,0.053710103,-0.0008798037,0.8436004
236,236.0,6.0,0.040051077,0.051900655,0.053224266,-0.00089533813,0.8439427
237,237.0,6.0,0.039677814,0.051407926,0.052734435,-0.0009075552,0.8442861
238,238.0,6.0,0.039302997,0.05091188,0.052240983,-0.0009165611,0.8446301
239,239.0,6.0,0.038926657,0.050412834,0.051744163,-0.0009224769,0.84497476
240,240.0,6.0,0.0385488,0.049910888,0.051244132,-0.0009253621,0.84532017
241,0.0,6.0,0.6184664,0.03971353,0.00014448725,4.4668093e-05,2.1509826e-05
242,1.0,6.0,0.60477793,0.05048076,0.00069015287,0.000103298575,0.01394134
243,2.0,6.0,0.59101284,0.06099022,0.0014542174,0.00017850101,0.027994938
244,3.0,6.0,0.577295,0.0711574,0.0024596285,0.00027608871,0.04216119
245,4.0,6.0,0.5637171,0.08091966,0.003718635,0.00039862655,0.056420267
246,5.0,6.0,0.5503402,0.09023562,0.0052336436,0.00054552965,0.07075332
247,6.0,6.0,0.53719866,0.09908263,0.0069993716,0.00071372837,0.085141644
248,7.0,6.0,0.5243059,0.1074532,0.009004606,0.0008982569,0.09956639
249,8.0,6.0,0.5116614,0.115350604,0.0112340655,0.0010933783,0.114008285
250,9.0,6.0,0.49925673,0.122785866,0.013670115,0.0012930632,0.12844756
251,10.0,6.0,0.4870808,0.12977418,0.016293852,0.0014918409,0.14286399
252,11.0,6.0,0.47512394,0.1363332,0.019086232,0.001685407,0.15723726
253,12.0,6.0,0.46337968,0.14248109,0.022028381,0.0018704869,0.17154703
254,13.0,6.0,0.45184624,0.14823563,0.025102189,0.002045231,0.18577355
255,14.0,6.0,0.4405265,0.15361364,0.028290229,0.0022091083,0.1998975
